# Physical, constitutively consistent Kelvin-Voigt MMS
# generated_utc=2026-08-01T15:55:26.961
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
# error=arithmetic mean of six componentwise L2 errors at T=1
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,block,l2_error,eoc
2,3,8,1.2500000000000000e-01,upwind,br1,r_tau,1.1230505589459282e-04,2.38347844
2,4,16,6.2500000000000000e-02,upwind,br1,u1,3.1071573999659118e-05,3.72871445
2,4,16,6.2500000000000000e-02,upwind,br1,u2,3.4096172551298310e-05,3.60179849
2,4,16,6.2500000000000000e-02,upwind,br1,r_tau,1.1699987224668162e-05,3.26284402
2,5,32,3.1250000000000000e-02,upwind,br1,u1,2.4713245501789263e-06,3.65223893
2,5,32,3.1250000000000000e-02,upwind,br1,u2,3.1761152110361693e-06,3.42427465
2,5,32,3.1250000000000000e-02,upwind,br1,r_tau,1.4389103905896225e-06,3.02345830
2,6,64,1.5625000000000000e-02,upwind,br1,u1,2.7136800763532733e-07,3.18696193
2,6,64,1.5625000000000000e-02,upwind,br1,u2,3.7069330097835926e-07,3.09896530
2,6,64,1.5625000000000000e-02,upwind,br1,r_tau,1.8113788949603555e-07,2.98981649
2,7,128,7.8125000000000000e-03,upwind,br1,u1,3.3487779994645717e-08,3.01854400
2,7,128,7.8125000000000000e-03,upwind,br1,u2,4.6304603040348606e-08,3.00099852
2,7,128,7.8125000000000000e-03,upwind,br1,r_tau,2.3880704934755017e-08,2.92317102
3,2,4,2.5000000000000000e-01,upwind,alternating,u1,6.3160055748597428e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,u2,5.0503054694162103e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,alternating,r_tau,1.1038635778786121e-05,NaN
3,3,8,1.2500000000000000e-01,upwind,alternating,u1,2.3227469571336036e-06,4.76510855
3,3,8,1.2500000000000000e-01,upwind,alternating,u2,3.0358267755016269e-06,4.05620927
3,3,8,1.2500000000000000e-01,upwind,alternating,r_tau,9.0520028963056290e-07,3.60818103
3,4,16,6.2500000000000000e-02,upwind,alternating,u1,8.0822426307423492e-08,4.84493252
3,4,16,6.2500000000000000e-02,upwind,alternating,u2,1.4309452675599419e-07,4.40704908
3,4,16,6.2500000000000000e-02,upwind,alternating,r_tau,6.2931283801394697e-08,3.84638777
3,5,32,3.1250000000000000e-02,upwind,alternating,u1,4.6444150931768362e-09,4.12118684
3,5,32,3.1250000000000000e-02,upwind,alternating,u2,8.9023140008284099e-09,4.00664429
3,5,32,3.1250000000000000e-02,upwind,alternating,r_tau,4.7500396414597578e-09,3.72776592
3,6,64,1.5625000000000000e-02,upwind,alternating,u1,3.1283510385325386e-10,3.89202260
3,6,64,1.5625000000000000e-02,upwind,alternating,u2,5.7431171254874915e-10,3.95427450
3,6,64,1.5625000000000000e-02,upwind,alternating,r_tau,3.3532864916885725e-10,3.82429190
3,7,128,7.8125000000000000e-03,upwind,alternating,u1,2.0678632356997932e-11,3.91918973
3,7,128,7.8125000000000000e-03,upwind,alternating,u2,3.6897001850634308e-11,3.96025849
3,7,128,7.8125000000000000e-03,upwind,alternating,r_tau,2.8943931590448161e-11,3.53424294
3,2,4,2.5000000000000000e-01,upwind,br1,u1,6.7278979495385532e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,br1,u2,5.3582991428309020e-05,NaN
3,2,4,2.5000000000000000e-01,upwind,br1,r_tau,1.1374363111819756e-05,NaN
3,3,8,1.2500000000000000e-01,upwind,br1,u1,2.8929520464138632e-06,4.53954151
3,3,8,1.2500000000000000e-01,upwind,br1,u2,3.5391561330271401e-06,3.92029781
3,3,8,1.2500000000000000e-01,upwind,br1,r_tau,1.1110529617683571e-06,3.35578627
3,4,16,6.2500000000000000e-02,upwind,br1,u1,1.1686671695168187e-07,4.62960639
3,4,16,6.2500000000000000e-02,upwind,br1,u2,2.0854005517310685e-07,4.08500899
3,4,16,6.2500000000000000e-02,upwind,br1,r_tau,1.1808420986298286e-07,3.23403962
3,5,32,3.1250000000000000e-02,upwind,br1,u1,5.9344317439269589e-09,4.29961042
3,5,32,3.1250000000000000e-02,upwind,br1,u2,1.8767133020167326e-08,3.47404434
3,5,32,3.1250000000000000e-02,upwind,br1,r_tau,1.4669459788285650e-08,3.00892841
3,6,64,1.5625000000000000e-02,upwind,br1,u1,3.4331216217706253e-10,4.11151702
3,6,64,1.5625000000000000e-02,upwind,br1,u2,2.0246567680294409e-09,3.21245901
3,6,64,1.5625000000000000e-02,upwind,br1,r_tau,1.8437924849800305e-09,2.99206755
3,7,128,7.8125000000000000e-03,upwind,br1,u1,2.0863823008207189e-11,4.04044553
3,7,128,7.8125000000000000e-03,upwind,br1,u2,2.3806238763449645e-10,3.08826575
3,7,128,7.8125000000000000e-03,upwind,br1,r_tau,2.3211134898489985e-10,2.98978732
