campaign,branch,acceleration_rms_g,normalized_frequency,frequency_hz,numerical_transverse,experimental_transverse,transverse_error,numerical_longitudinal,experimental_longitudinal,longitudinal_error,periodicity_error,total_energy_change,physical_root_work,material_dissipation,jump_dissipation,left_boundary_dissipation,right_boundary_dissipation,sat_data_work,net_boundary_dissipation,relative_ledger_residual
02g_upper,upper,0.2,0.8231814788683266,7.511501132411389,0.050226988302486376,0.058853591387922816,-0.00862660308543644,-0.0014599478412486988,-0.003640575094608005,0.0021806272533593063,0.0006015318558911936,5.546727803235063e-05,0.0003162749130741749,0.00025632468059254385,1.1704735063323992e-08,4.332542948981627,2.8012964890824256e-09,4.332538456332909,4.495450014019298e-06,5.585301387459253e-09
02g_upper,upper,0.2,0.848887538640635,7.746067995304105,0.058572791232826694,0.06863120064623555,-0.01005840941340886,-0.0019875216100938564,-0.004837183897465274,0.0028496622873714177,0.0017615186165333904,-0.00019548243122369247,0.00016434432618105205,0.00035483498710160065,2.1206441368308805e-08,3.9507483921862008,5.708715353786336e-09,3.9507433865198225,5.011375093566528e-06,1.0329072439491172e-08
02g_upper,upper,0.2,0.8745935845027772,7.980634731267059,0.0684485935670307,0.0852387939135166,-0.0167902003464859,-0.002717178002421994,-0.006209152407294944,0.0034919744048729504,0.0014318633001709213,-0.00017950249992118583,0.00032596856234997864,0.0005001890870708,4.0101846989463934e-08,3.6125274003395056,1.1963763780373475e-08,3.612522131483887,5.280819382225133e-06,1.0779333149033012e-08
02g_upper,upper,0.2,0.9003017515931105,8.215220823360305,0.08536758701320013,0.10837468471290332,-0.02300709769970319,-0.0042335081138703545,-0.009323492471043958,0.005089984357173604,0.0018566494676522521,0.00030925325923028546,0.0011215087034440448,0.0008072516354859946,9.884036793986447e-08,3.311812409148225,3.3135925872246146e-08,3.311807548799814,4.893484336854215e-06,3.4664258927680876e-09
02g_upper,upper,0.2,0.9260088580693485,8.449797237388406,0.11325527119077851,0.14330602218961735,-0.030050750998838846,-0.007471567344674468,-0.015224683765916118,0.00775311642124165,0.0014020128653356584,-0.0002820723086607302,0.0011836676908738234,0.001462612889440115,3.090717636824524e-07,3.0435755165449865,1.151994182290597e-07,3.0435727674176682,2.864326736684575e-06,1.5201254493393796e-08
02g_upper,upper,0.2,0.9517159539394453,8.684373554635854,0.16786981988770042,0.20282728037059636,-0.03495746048289594,-0.016517925778714693,-0.029786672324465222,0.01326874654575053,0.0013099035543358423,-0.00017812217391077745,0.0031518250814309033,0.0033401908433703356,1.5409274755523514e-06,2.80351391276711,6.340344700807491e-07,2.80352631770312,-1.1770901539698286e-05,4.8502533892220675e-09
02g_upper,upper,0.2,0.9774220104077285,8.91894038737946,0.29971821639868657,0.3113206614022653,-0.01160244500357871,-0.05392049916291186,-0.0712781665926309,0.017357667429719045,0.001271109177588936,0.000786229369547975,0.01194886919146026,0.011272056678021917,1.6962400640562516e-05,2.5878308129435736,7.4829080669182026e-06,2.587964693850294,-0.00012639799865343804,7.208664107553389e-09
02g_upper,upper,0.2,0.9928458500478329,9.05968236457026,0.48060694797910014,0.4947015776719036,-0.014094629692803451,-0.1473015227736264,-0.15806157689134012,0.010760054117713719,0.00168575530068589,-0.0002670997567461031,0.031176505735376715,0.031860147671842746,0.00013593263564226906,2.4680537121996364,5.895670700097771e-05,2.4686651186754145,-0.000552449768777219,1.0018198311628958e-08
02g_upper,upper,0.2,1.0031291062778251,9.153516704626906,0.6114987849834272,0.6038082230171944,0.007690561966232856,-0.25742052681463934,-0.2533693242772176,-0.00405120253742175,0.0009537229499508859,0.0012890949673063368,0.05848126359390693,0.05767573212412755,0.0004607974225497372,2.391651320440301,0.0001867939985842582,2.3927824840300005,-0.0009443695911151018,3.53737477749898e-09
02g_upper,upper,0.2,1.0082707429999171,9.200433953194667,0.6739123825346126,0.6608664831269885,0.013045899407624129,-0.3300463688053059,-0.3158190514413158,-0.014227317363990133,0.0014527806641245755,-0.0014850327600592905,0.07387092140703136,0.07555239823403716,0.0008194554493541092,2.354581070773159,0.00031407940776750437,2.355910989293444,-0.0010158391125174582,2.4844569834748425e-08
