campaign,branch,component,points,rmse,peak_normalized_rmse,mae,bias,maximum_absolute_error,maximum_periodicity_error,maximum_relative_ledger_residual
02g_upper,upper,transverse,16,0.01726440399198049,0.021952813712232958,0.015162122124553683,-0.005225750578220926,0.03495746048289594,0.001999499796290549,2.4844569834748425e-08
02g_upper,upper,longitudinal,16,0.014727582780610428,0.027938274706279343,0.011995302982337945,-0.0005715409591747789,0.028515048009154165,0.001999499796290549,2.4844569834748425e-08
02g_lower,lower,transverse,14,0.0401299310820674,0.17529301342342873,0.03522005650011519,0.03522005650011519,0.05855042718398648,0.00018063722159471912,6.8141771053374905e-09
02g_lower,lower,longitudinal,14,0.009128902982562762,0.3356872187072375,0.007509183941786541,-0.007002991277845962,0.015529706031050045,0.00018063722159471912,6.8141771053374905e-09
05g_upper,upper,transverse,18,0.015934029563899398,0.018628909903109628,0.011352628710041252,-0.004822839612835617,0.0299402783678705,0.0004711562662064739,6.116124219864192e-08
05g_upper,upper,longitudinal,18,0.038293766915734904,0.03948719301301164,0.032346477219159654,-0.027038471982886482,0.05858995736690631,0.0004711562662064739,6.116124219864192e-08
05g_lower,lower,transverse,14,0.05777395527095254,0.09085399005713782,0.05384332999050697,0.05384332999050697,0.08126752050013103,0.0001917313239975238,2.6003879383642957e-09
05g_lower,lower,longitudinal,14,0.0428401792244346,0.17146513026472202,0.03801757387440068,-0.03801757387440068,0.0654910649756725,0.0001917313239975238,2.6003879383642957e-09
