# Componentwise numerical Kelvin-Voigt resultant errors
# r_tau is reconstructed from Trixi's discrete auxiliary gradient
# generated_utc=2026-08-01T15:55:26.622
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,component,l2_error,l2_eoc,linf_error,linf_eoc
1,2,4,2.5000000000000000e-01,upwind,br1,4,r_tau_m1,1.8006567980573547e-03,NaN,3.8233556735948679e-03,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,5,r_tau_m2,3.5405164312005233e-03,NaN,1.2034886426005871e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,6,r_tau_m3,6.6933913059293035e-03,NaN,2.1353237912785344e-02,NaN
1,3,8,1.2500000000000000e-01,upwind,br1,1,r_tau_f1,3.3642435544302030e-03,0.97024821,9.8925644789731870e-03,0.77805051
1,3,8,1.2500000000000000e-01,upwind,br1,2,r_tau_f2,7.0674789456988312e-03,0.88623902,1.5934907164774581e-02,0.74169215
1,3,8,1.2500000000000000e-01,upwind,br1,3,r_tau_f3,4.8627403821187550e-03,1.32827377,1.6149585476256237e-02,1.15535469
1,3,8,1.2500000000000000e-01,upwind,br1,4,r_tau_m1,1.0391807493531891e-03,0.79307662,2.3205770858138047e-03,0.72035579
1,3,8,1.2500000000000000e-01,upwind,br1,5,r_tau_m2,2.2152980677966833e-03,0.67645899,9.1129202061631248e-03,0.40123719
1,3,8,1.2500000000000000e-01,upwind,br1,6,r_tau_m3,2.8367474775708875e-03,1.23849963,1.0295499561241747e-02,1.05244102
1,4,16,6.2500000000000000e-02,upwind,br1,1,r_tau_f1,1.7307964834475332e-03,0.95884606,6.0138454969022592e-03,0.71805676
1,4,16,6.2500000000000000e-02,upwind,br1,2,r_tau_f2,3.6801640224068915e-03,0.94142561,8.9251683856293451e-03,0.83623932
1,4,16,6.2500000000000000e-02,upwind,br1,3,r_tau_f3,1.9801796316885173e-03,1.29613826,7.5389688662229060e-03,1.09905802
1,4,16,6.2500000000000000e-02,upwind,br1,4,r_tau_m1,6.4918581787506665e-04,0.67874322,1.5248242400591888e-03,0.60584066
1,4,16,6.2500000000000000e-02,upwind,br1,5,r_tau_m2,1.0823770875123086e-03,1.03329762,5.2821473563147009e-03,0.78678889
1,4,16,6.2500000000000000e-02,upwind,br1,6,r_tau_m3,1.1697653565531964e-03,1.27801856,4.2862931590557096e-03,1.26421140
1,5,32,3.1250000000000000e-02,upwind,br1,1,r_tau_f1,9.7025066236121934e-04,0.83500668,3.6888114611694223e-03,0.70513175
1,5,32,3.1250000000000000e-02,upwind,br1,2,r_tau_f2,1.7418824977608292e-03,1.07912276,4.5697108502788519e-03,0.96577651
1,5,32,3.1250000000000000e-02,upwind,br1,3,r_tau_f3,8.7753452983730014e-04,1.17410351,3.1412279146222910e-03,1.26303859
1,5,32,3.1250000000000000e-02,upwind,br1,4,r_tau_m1,3.7671636958032975e-04,0.78515276,9.4490664422106074e-04,0.69039925
1,5,32,3.1250000000000000e-02,upwind,br1,5,r_tau_m2,4.8633955021887986e-04,1.15416738,2.3423073181235710e-03,1.17319417
1,5,32,3.1250000000000000e-02,upwind,br1,6,r_tau_m3,4.9382903736933180e-04,1.24413559,1.3467088270554262e-03,1.67029257
1,6,64,1.5625000000000000e-02,upwind,br1,1,r_tau_f1,5.5904098666194736e-04,0.79540345,2.0675236441191347e-03,0.83525223
1,6,64,1.5625000000000000e-02,upwind,br1,2,r_tau_f2,7.8660776209710725e-04,1.14693098,2.4189253923514453e-03,0.91773661
1,6,64,1.5625000000000000e-02,upwind,br1,3,r_tau_f3,4.2252768552126173e-04,1.05441002,1.2583266743744353e-03,1.31982211
1,6,64,1.5625000000000000e-02,upwind,br1,4,r_tau_m1,2.0278643225186870e-04,0.89351759,5.3973769420397055e-04,0.80791335
1,6,64,1.5625000000000000e-02,upwind,br1,5,r_tau_m2,2.3032185239654879e-04,1.07831262,1.0156613912892382e-03,1.20551087
1,6,64,1.5625000000000000e-02,upwind,br1,6,r_tau_m3,2.2834279857919927e-04,1.11281038,6.0693839493956847e-04,1.14981596
1,7,128,7.8125000000000000e-03,upwind,br1,1,r_tau_f1,3.0457912837214437e-04,0.87613698,1.0756602758446865e-03,0.94268132
1,7,128,7.8125000000000000e-03,upwind,br1,2,r_tau_f2,3.6250000116020694e-04,1.11766342,1.1509806527320587e-03,1.07150269
1,7,128,7.8125000000000000e-03,upwind,br1,3,r_tau_f3,2.1165220949894781e-04,0.99735033,5.7949631541337476e-04,1.11863512
1,7,128,7.8125000000000000e-03,upwind,br1,4,r_tau_m1,1.0630483825599666e-04,0.93175387,2.8165021988123262e-04,0.93835385
1,7,128,7.8125000000000000e-03,upwind,br1,5,r_tau_m2,1.1188819166990439e-04,1.04159351,4.2279994304839086e-04,1.26437242
1,7,128,7.8125000000000000e-03,upwind,br1,6,r_tau_m3,1.1062886144529873e-04,1.04547348,2.9058549032238978e-04,1.06258742
2,2,4,2.5000000000000000e-01,upwind,alternating,1,r_tau_f1,3.3238693262890970e-04,NaN,1.0136165588888746e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,2,r_tau_f2,1.0783541012558539e-03,NaN,3.1482206986657990e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,3,r_tau_f3,1.0788108219086604e-03,NaN,3.0088174891247516e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,4,r_tau_m1,6.6156640621526980e-04,NaN,1.9597581537275921e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,5,r_tau_m2,5.2542001381337207e-04,NaN,1.7154614640582933e-03,NaN
2,2,4,2.5000000000000000e-01,upwind,alternating,6,r_tau_m3,5.6770924832908495e-04,NaN,1.7122496802255555e-03,NaN
2,3,8,1.2500000000000000e-01,upwind,alternating,1,r_tau_f1,5.4591547297495551e-05,2.60611417,2.1389202397567586e-04,2.24455741
