campaign,branch,acceleration_rms_g,normalized_frequency,baseline_transverse,refined_transverse,transverse_change_fraction,experimental_transverse,baseline_longitudinal,refined_longitudinal,longitudinal_change_fraction,experimental_longitudinal,baseline_rotation,refined_rotation,rotation_change_fraction,baseline_periodicity_error,refined_periodicity_error,baseline_physical_root_work,baseline_energy_change_fraction,baseline_material_fraction,baseline_jump_fraction,baseline_net_boundary_fraction,baseline_numerical_fraction,baseline_compact_relative_ledger_residual,refined_physical_root_work,refined_energy_change_fraction,refined_material_fraction,refined_jump_fraction,refined_net_boundary_fraction,refined_numerical_fraction,refined_compact_relative_ledger_residual
02g_lower,lower,0.2,1.041395274940669,0.18940773677534212,0.18924802607453006,-0.0008439226771599564,0.13905273743385144,-0.021154315444805727,-0.02111820962418043,0.0017097008348641988,-0.011069683818535824,0.26388562193548637,0.26365986861854934,-0.0008562293462401616,9.815873007845699e-05,4.993208821763018e-05,0.0046357875479295435,-0.008072916160681062,1.0051351657370748,0.0005718673560847072,0.00236519473243224,0.002937062088516947,6.883350891131677e-07,0.004654362824196739,-0.003705340497917289,0.9994449604724898,0.0006919161704307399,0.0035807669577085045,0.004272683128139244,1.2303102711709229e-05
05g_upper,upper,0.5,0.9774220104077284,0.5346712099023484,0.5343622688346085,-0.0005781491055004723,0.5238244393522258,-0.18705475725663967,-0.18680736696894829,0.0013243069141513392,-0.17947453937001298,0.7980080866725648,0.7974596107269257,-0.0006877789649298364,0.00028109533867470837,0.00029500433472839926,0.037620307440830135,-0.004036088450562916,1.0694073578194878,0.005886996325734428,-0.07125791866419302,-0.06537092233845859,3.470304663719539e-07,0.03897262659554215,0.0084829695998384,1.0310378492794672,0.005705388003216988,-0.04522440323330295,-0.03951901523008596,1.8036492196308332e-06
05g_upper,upper,0.5,1.0031291062778251,0.7392469319365788,0.7399732824146373,0.0009815901402391114,0.711655868598779,-0.42923643847763604,-0.43061449234644833,-0.0032002031824409317,-0.3839190828048175,1.2518777736171838,1.2541574714703945,0.0018177126119082471,0.00020619983051828328,0.00023361534780202975,0.09383552757564463,0.003835859923291897,1.074025781392247,0.016413083806756355,-0.0942743466611055,-0.07786126285434915,3.7846118953543895e-07,0.09681717754463715,-0.0015573887987910002,1.0443984189617075,0.012462565853297644,-0.055303424293456784,-0.042840858440159134,1.717227574392502e-07
05g_upper,upper,0.5,1.0185529459179299,0.8198986078676785,0.8206398419108974,0.000903239162130991,0.8105034812091638,-0.6444814792173632,-0.6490177937430879,-0.006989507174467949,-0.5922924868172681,1.5914011858301669,1.598948912618337,0.0047204302330150025,0.00031132906155699816,0.0004291567257359574,0.15788427296238305,0.0009404515971126149,1.0488989499959187,0.032504154707251334,-0.08234364198552382,-0.04983948727827249,8.56852412727342e-08,0.16112638851676434,-0.005751787931007943,1.0374281646799115,0.01869492706955056,-0.050370419205965945,-0.031675492136415385,8.846124880548115e-07
05g_upper,upper,0.5,1.0288351627461085,0.839623485905063,0.8398518463442509,0.0002719056226189959,0.8392654016716398,-0.8085163644399569,-0.8177469729818906,-0.011287854124698925,-0.7576282330406312,1.842263929609475,1.858463818115117,0.008716816732042814,0.0004711562662064739,0.00045679894259409437,0.23245737751447784,-0.0013933195536278626,0.9819421499297243,0.05288233240789717,-0.033429433875924154,0.019452898531973014,1.7289080693966611e-06,0.23059730363958073,-0.0036876581235808902,1.010155217213255,0.02516392528470993,-0.03162952552615453,-0.006465600241444596,1.9588482296765906e-06
05g_upper,upper,0.5,1.0350051256298216,0.8468282579280679,0.8476028909276991,0.0009139102850196448,0.845101249058947,-0.907469707581186,-0.9275008685595257,-0.021596918835719903,-0.8587178644809593,1.9979669533603637,2.0322643471795536,0.016876443198341324,0.0001547431525017462,0.0002863229521648386,0.3055567036378965,-0.0009289652836952966,0.9036997619227759,0.06883830899211543,0.02839224038340723,0.09723054937552267,1.3460146031778797e-06,0.2961404754901403,0.00011789801059902822,0.9749894707437928,0.031146167308128355,-0.006250077864822846,0.024896089443305507,3.458197697426696e-06
05g_upper,upper,0.5,1.0391205403433936,0.8516345513953142,0.8536494576093493,0.0023603438110039493,0.8519647592827665,-0.9719870316977505,-1.0025888326542824,-0.030522782580288562,-0.9290576922006113,2.1024094427960907,2.1558595241413028,0.02479293328098534,0.00019477999552813818,0.0003318092236772596,0.3791389184337603,-1.3430196093339747e-05,0.8267524286316097,0.0790979171392603,0.09416531807918803,0.17326323521844833,2.2336539647237615e-06,0.3564160951641063,-0.0013820150648833599,0.9431345687514775,0.03646368117665349,0.021788479863482032,0.05825216104013552,4.714726729735347e-06
05g_upper,upper,0.5,1.0411750674403546,0.8538335234621701,0.857060197557217,0.0037648161753905656,0.8553388065524764,-0.9982631562176543,-1.0372649527613969,-0.037600611531231606,-0.9697768819150179,2.1462837990957553,2.2160590505886617,0.03148618782264476,0.00041863901396319014,5.62520006970324e-05,0.42500950309081625,0.00013211018635697999,0.7776213178019219,0.08170839174947435,0.14053975605980495,0.2222481478092793,1.5757975581041516e-06,0.3951682362899681,0.00023863550404025987,0.9173800675592878,0.039143859804590744,0.04324221063622764,0.08238607044081839,4.773504146333719e-06
