acceleration_rms_g,frequency_hz,normalized_frequency,frequency_over_unloaded_omega1,omega,transverse_peak,longitudinal_minimum,rotation_peak,periodicity_error,cycles,accepted_steps,rejected_steps,total_energy_change,material_dissipation,jump_dissipation,left_boundary_dissipation,right_boundary_dissipation,physical_root_work,sat_data_work,ledger_residual,relative_ledger_residual
0.20000000000000001,7.5115011324113894,0.8231814788683266,0.80045887787303982,2.8144256364081053,0.050226988302486376,-0.0014599478412486988,0.068542365455455265,0.00060153185589119362,50,2324,133,5.5467278032350631e-05,0.00025632468059254385,1.1704735063323992e-08,4.3325429489816267,2.8012964890824256e-09,0.00031627491307417488,4.3325384563329088,2.4200299542087578e-08,5.585301387459253e-09
0.20000000000000001,7.7460679953041049,0.84888753864063504,0.82545536320233459,2.9023136604847455,0.058572791232826694,-0.0019875216100938564,0.080059621782625157,0.0017615186165333904,38,551,31,-0.00019548243122369247,0.00035483498710160065,2.1206441368308805e-08,3.9507483921862008,5.708715353786336e-09,0.00016434432618105205,3.9507433865198225,4.0811231727388986e-08,1.0329072439491172e-08
0.20000000000000001,7.9806347312670587,0.87459358450277724,0.85045183500543098,2.9902016370030653,0.068448593567030702,-0.0027171780024219938,0.093699002429625061,0.0014318633001709213,48,605,36,-0.00017950249992118583,0.00050018908707079996,4.0101846989463934e-08,3.6125274003395056,1.1963763780373475e-08,0.00032596856234997864,3.6125221314838871,3.8946028624309292e-08,1.0779333149033012e-08
0.20000000000000001,8.2152208233603048,0.90030175159311054,0.8754503694836252,3.0780968659185239,0.08536758701320013,-0.0042335081138703545,0.11709823619332997,0.0018566494676522521,48,703,41,0.00030925325923028546,0.0008072516354859946,9.8840367939864474e-08,3.3118124091482248,3.3135925872246146e-08,0.0011215087034440448,3.311807548799814,-1.1484023065833071e-08,3.4664258927680876e-09
0.20000000000000001,8.449797237388406,0.92600885806934852,0.90044787262427062,3.1659884686354141,0.11325527119077851,-0.0074715673446744679,0.15578219862613119,0.0014020128653356584,58,871,56,-0.00028207230866073019,0.0014626128894401149,3.0907176368245242e-07,3.0435755165449865,1.151994182290597e-07,0.0011836676908738234,3.0435727674176682,4.6288405997074733e-08,1.5201254493393796e-08
0.20000000000000001,8.6843735546358545,0.9517159539394453,0.92544536545154044,3.2538800350903174,0.16786981988770042,-0.016517925778714693,0.23211165057338093,0.0013099035543358423,68,1310,79,-0.00017812217391077745,0.0033401908433703356,1.5409274755523514e-06,2.80351391276711,6.3403447008074912e-07,0.0031518250814309033,2.80352631770312,1.3613964178205151e-08,4.8502533892220675e-09
0.20000000000000001,8.9189403873794593,0.97742201040772847,0.9504418475680122,3.3417680478706231,0.29971821639868657,-0.053920499162911861,0.42164063956859243,0.001271109177588936,78,7585,658,0.00078622936954797495,0.011272056678021917,1.6962400640562516e-05,2.5878308129435736,7.4829080669182026e-06,0.01194886919146026,2.587964693850294,-1.874190358464034e-08,7.2086641075533889e-09
0.20000000000000001,9.0596823645702607,0.99284585004783288,0.96543993691737984,3.3945015590213292,0.48060694797910014,-0.1473015227736264,0.70538738023493164,0.00168575530068589,78,10438,722,-0.00026709975674610309,0.031860147671842746,0.00013593263564226906,2.4680537121996364,5.895670700097771e-05,0.031176505735376715,2.4686651186754145,2.5046585250265707e-08,1.0018198311628958e-08
0.20000000000000001,9.1535167046269059,1.0031291062778251,0.97543934039528191,3.429659614325526,0.61149878498342725,-0.25742052681463934,0.94641562209124175,0.00095372294995088591,78,11248,640,0.0012890949673063368,0.057675732124127549,0.00046079742254973721,2.3916513204403009,0.00018679399858425821,0.058481263593906929,2.3927824840300005,-8.6710385538424362e-09,3.5373747774989801e-09
0.20000000000000001,9.2004339531946666,1.0082707429999171,0.9804390505037438,3.4472386714049525,0.67391238253461261,-0.33004636880530591,1.0828633245249721,0.0014527806641245755,58,11511,714,-0.0014850327600592905,0.075552398234037157,0.00081945544935410923,2.3545810707731589,0.00031407940776750437,0.073870921407031359,2.3559109892934438,6.0403782864426603e-08,2.4844569834748425e-08
