campaign,branch,normalized_frequency,numerical_transverse,periodicity_error,total_energy_change,physical_root_work,material_dissipation,jump_dissipation,net_boundary_dissipation,energy_change_fraction,material_fraction,jump_fraction,net_boundary_fraction,compact_ledger_residual,compact_relative_ledger_residual,relative_ledger_residual
02g_upper,upper,1.0206085018105635,0.7725170158988574,0.0011891822077263053,0.0007407179435843236,0.12806053401277007,0.12153071807600493,0.00241488683741613,0.003374234515432839,0.005784123495146913,0.9490099273198878,0.018857385345397045,0.026348746250709557,2.3359668144262713e-08,1.824111411399652e-07,9.723941089551064e-09
02g_lower,lower,1.0309244496373067,0.25540687069479584,0.00011122914982908405,1.2354692686122881e-06,0.008584741027611396,0.008511063396932854,8.995173655309622e-06,6.344106308509012e-05,0.00014391456476539084,0.991417605907788,0.0010478095525978174,0.007389979835273127,-5.9246695292836105e-09,6.90139575582757e-07,2.6755814826853545e-09
05g_upper,upper,1.0411750674403546,0.8538335234621701,0.00041863901396319014,5.61480846568152e-05,0.42500950309081625,0.33049644987182053,0.03472684297579384,0.059730731887482236,0.00013211018635697999,0.7776213178019219,0.08170839174947435,0.14053975605980495,6.697289371415671e-07,1.5757975581041516e-06,4.841898917581109e-08
05g_lower,lower,1.0329494990764299,0.6534231737160657,9.730986233247307e-05,0.00010688188320417957,0.07890664194280467,0.07108376966242991,0.0007151746632943929,0.007000817766794398,0.001354535949985715,0.9008591407799973,0.009063554672783894,0.08872279436082109,2.032918208771939e-09,2.5763587940359897e-08,1.4742020811079095e-10
