acceleration_rms_g,frequency_hz,normalized_frequency,frequency_over_unloaded_omega1,omega,transverse_peak,longitudinal_minimum,rotation_peak,periodicity_error,cycles,accepted_steps,rejected_steps,total_energy_change,material_dissipation,jump_dissipation,left_boundary_dissipation,right_boundary_dissipation,physical_root_work,sat_data_work,ledger_residual,relative_ledger_residual
0.5,10.326388260902702,1.1316634864500821,1.1004257356944513,3.8691136885522015,0.14345320901490607,-0.012109779075232474,0.20032186972866628,0.00016732084045818774,160,1703,96,4.0335127704183016e-05,0.0028662727475726596,9.364040202354629e-07,10.422090401581537,6.9249889667104105e-07,0.0028841319263859769,10.42211450962119,-3.1878464312740107e-09,3.0578866634756504e-10
0.5,10.091821399279283,1.1059574268168753,1.0754292505004186,3.7812256649511444,0.17966192762618041,-0.01905711581273406,0.25120053072980947,0.00010509457665885957,150,2044,2,2.8610763754988167e-05,0.0044246688087289663,2.2584461974804049e-06,11.165885843242425,1.5510320418106547e-06,0.0044528934424445631,11.165890040622889,-1.7721859535413387e-09,1.5865098896264319e-10
0.5,9.8572354994780405,1.0802492807997222,1.0504307365137131,3.6933305080840735,0.23790092564018539,-0.033686409192690947,0.33417649508694935,0.00011327307319245264,150,2762,77,2.4007797266578645e-05,0.0076829889350749723,6.9550541341611798e-06,11.982350890786863,4.3718645583566602e-06,0.0077917055482572628,11.982277516638998,-7.7493584882404321e-09,6.4631474136116596e-10
0.5,9.6695764307983509,1.059683821651717,1.0304329537949051,3.6230179987085953,0.32051691805150523,-0.062198859950483687,0.45523926139515491,0.00010630118434534763,150,4434,158,6.5207037853176608e-05,0.014014263570345541,2.3790940603512329e-05,12.694103617017333,1.3622832542474169e-05,0.014446200264238228,12.693774312678713,-1.1544273093022639e-08,9.0840988171909157e-10
0.5,9.622659182230592,1.0545421849296253,1.0254332436864433,3.6054389416291697,0.35151699678310627,-0.075428899929573801,0.50203068230069581,0.00017713441239475269,110,5124,171,7.3631142801011684e-05,0.016961775672266529,3.5202081194327337e-05,12.880990656601671,1.955250320724961e-05,0.017578035385892535,12.880502776238442,6.3768066382863253e-09,4.9439964994941404e-10
0.5,9.5757516418770887,1.0494016121256542,1.0204345681283533,3.5878635220446466,0.3886820021657163,-0.093265115506365848,0.55936176861599596,0.00018904057266888596,110,8401,561,-0.00015467333057123112,0.02096378668969678,5.4434919219242716e-05,13.071693793668208,2.9189432168669579e-05,0.021631958172486077,13.07095460631645,-3.3110215014175992e-08,2.5288986085103909e-09
0.5,9.5569848306674867,1.0473449671045272,1.0184346934858168,3.5808319322664026,0.40652674506714864,-0.1026380725961058,0.58743639504830392,0.00019173132399752379,90,10063,702,-0.00015773364838861381,0.023079000702441579,6.6373549961414486e-05,13.149132768043,3.5002187077476172e-05,0.023910184554477298,13.148245232986822,-6.7072072340579325e-09,5.0918978014635165e-10
0.5,9.5382083413927354,1.0452872614693045,1.0164337875057312,3.5737967162895878,0.426228587008536,-0.11362944729811297,0.61889609958288072,0.00018884003680680328,90,13082,1009,4.5831059879875014e-05,0.025573433778398529,8.2058664328861459e-05,13.227297732085491,4.2481935679352956e-05,0.026819400165024043,13.226222125203286,1.2155467743468762e-08,9.171832533838646e-10
0.5,9.519441498764726,1.0432306130050508,1.0144339095151098,3.5667651147394261,0.44753498569358297,-0.12630493971552648,0.65346132666565149,8.5021256742423557e-05,110,15147,1178,-3.2242813825744676e-05,0.028454700433953494,0.00010237780065755337,13.306128611208143,5.1951616941253026e-05,0.029887497928892431,13.304817934992467,-3.467549092306399e-08,2.6003879383642957e-09
0.5,9.500684238690507,1.0411750146878531,1.0124350526839239,3.5597371036014303,0.47305857002930818,-0.14264995161157568,0.69586068820888858,9.1102160910461194e-05,110,16585,1444,-6.9083193517949226e-05,0.032175010797735708,0.00013217569223646552,13.38572366240393,6.546590068579416e-05,0.033944153707933196,13.384083093958514,-1.6065378360963223e-08,1.1972919245817145e-09
0.5,9.481936945754093,1.0391205086640722,1.0104372579951515,3.5527128269723782,0.50192458017728769,-0.16276278648675679,0.74518852901561095,0.00010224650010082215,110,18262,1329,0.00011302970077176067,0.036793700832683705,0.00017490947776786252,13.46613450046474,8.4216564793138142e-05,0.03925631538156666,13.464044049944912,-8.2857205541131407e-09,6.1360706863849813e-10
0.5,9.4631505861221932,1.037061721341574,1.0084353001860282,3.5456739127486072,0.53682747117182206,-0.18961929447292625,0.80711389607026707,0.00010740221281646534,110,19895,1418,-0.00010691653110672661,0.043063498684773355,0.0002434699117513823,13.547789621599437,0.000113080498048518,0.046083864651388078,13.545018894550937,-5.0394213246818254e-09,3.707853419072812e-10
0.5,9.444383743494182,1.0350050728773201,1.0064354221954066,3.5386423111984446,0.58203616601669594,-0.22910956924370374,0.89175573667034758,0.00011960191664617259,110,19943,1343,0.00014405675256345951,0.052434014266790632,0.00036982116580915899,13.630919122952131,0.0001633042145163627,0.057039608240352702,13.626990684853974,2.6257485075120712e-08,1.9188414898768243e-09
0.5,9.4256267071303785,1.0329494990764299,1.0044365892037947,3.5316143838807559,0.65342317371606573,-0.30529281096206196,1.040406073509986,9.7309862332473074e-05,110,20704,1375,0.00010688188320417957,0.071083769662429908,0.00071517466329439289,13.717760163504238,0.00028764299069651301,0.078906641942804667,13.711046988728141,2.032917834071668e-09,1.4742020811079095e-10
